PUBLICATION_DATE,UID,lat,lon,DATE_COL,SITE_ID,SITE_USE,STATE,REGION,VISIT_NO,SAMPLE_TYPE,COND,COND_USEABILITY,NH3,NH3_USEABILITY,NO3NO2,NO3NO2_USEABILITY,PH,PH_USEABILITY,TKN,TKN_USEABILITY,TN,TN_USEABILITY,TP,TP_USEABILITY,CONDUCTIVITY_FIELD,PH_FIELD
7/28/2016,5514,44.10458187,-84.90982227,9/6/2011,NWCA11-1867,NWCA_PROBABILITY,MI,UMW,1,CHEM,277.7,"USE - only lab, no issues",0.017,USE,0.006,USE - account for <DL/LRL,6.69,USE,,,35.9,USE - no issues,3325,USE - no issues,,
7/28/2016,5517,30.29468933,-88.58721892,5/18/2011,NWCA11-1969,NWCA_PROBABILITY,MS,CPL,1,CHEM,37680,"USE - only lab, no issues",0.007,USE,0.004,USE - no issues,8.2,USE,,,0.366,USE - no issues,33,USE - no issues,,
7/28/2016,5518,30.42130625,-88.57771898,5/17/2011,NWCA11-1970,NWCA_PROBABILITY,MS,CPL,1,CHEM,13730,"USE - only lab, no issues",0.01,USE,0.081,USE - no issues,7.64,USE,,,0.534,USE - no issues,27,USE - no issues,,
7/28/2016,5532,30.40138,-88.57823,8/31/2011,NWCA11-1977,NWCA_PROBABILITY,MS,CPL,1,CHEM,29750,"USE - only lab, flag issue minor",0.06,USE,0.012,USE - flag issue minor,7.35,USE,,,0.692,USE - flag issue minor,75,USE - flag issue minor,,
7/28/2016,5542,30.39483,-88.58902,8/31/2011,NWCA11-1993,NWCA_PROBABILITY,MS,CPL,1,CHEM,31550,"USE - only lab, flag issue minor",0.012,USE,0.004,USE - flag issue minor,7.63,USE,,,0.871,USE - flag issue minor,103,USE - flag issue minor,,
7/28/2016,5544,45.82677,-111.20984,7/6/2011,NWCA11-2011,NWCA_PROBABILITY,MT,WMT,1,CHEM,276.4,"USE - field & lab, no issues",0.055,USE,0.017,USE - account for <DL/LRL,10.2,USE,,,1.453,USE - no issues,97,USE - no issues,501,
7/28/2016,5545,48.17443244,-114.872369,7/19/2011,NWCA11-2020,NWCA_PROBABILITY,MT,WMT,1,CHEM,312,"USE - field & lab, no issues",0.031,USE,0.014,USE - account for <DL/LRL,7.36,USE,,,3.223,USE - no issues,186,USE - no issues,279.4,6.9
7/28/2016,5546,47.20358053,-113.9586421,7/18/2011,NWCA11-2022,NWCA_PROBABILITY,MT,WMT,1,CHEM,237.8,"USE - field & lab, no issues",0,USE,0.041,USE - no issues,7.53,USE,,,0.125,USE - no issues,40,USE - no issues,241.1,7.2
7/28/2016,5551,35.39592577,-76.30778348,8/10/2011,NWCA11-2033,NWCA_PROBABILITY,NC,CPL,1,CHEM,29450,"USE - field & lab, no issues",0.399,USE,0.005,USE - no issues,6.94,USE,,,3.919,USE - no issues,332,USE - no issues,34093.1,6.82
7/28/2016,5553,35.95074176,-76.12386936,6/7/2011,NWCA11-2036,NWCA_PROBABILITY,NC,CPL,1,CHEM,5022,"USE - only lab, no issues",0.015,USE,0,USE - account for <DL/LRL,7.25,USE,,,1.048,USE - no issues,63,USE - no issues,,6.67
